trip_id,year,month,season,origin_country,destination_country,travel_purpose,traveler_type,num_travelers,duration_nights
TRP0002594,2024,9,Winter (Dec-Feb),Spain,Egypt,Leisure/Tourism,Backpacker,2,7
TRP0002595,2024,4,Summer (Jun-Aug),Australia,Greece,Education,Solo,1,157
TRP0002596,2023,9,Summer (Jun-Aug),Japan,Australia,Medical Tourism,Business Traveler,1,8
TRP0002597,2023,8,Autumn (Sep-Nov),South Korea,Canada,Education,Family,6,133
TRP0002598,2019,1,Autumn (Sep-Nov),Germany,UAE,Medical Tourism,Business Traveler,1,20
TRP0002599,2019,4,Summer (Jun-Aug),Saudi Arabia,Indonesia,Honeymoon,Group Tour,19,17
TRP0002600,2023,1,Summer (Jun-Aug),India,Turkey,Leisure/Tourism,Business Traveler,1,3
TRP0002601,2022,8,Winter (Dec-Feb),UK,Morocco,Business,Couple,1,5
TRP0002602,2019,10,Winter (Dec-Feb),Pakistan,Malaysia,Leisure/Tourism,Family,5,7
TRP0002603,2020,6,Winter (Dec-Feb),China,France,Leisure/Tourism,Business Traveler,1,6
TRP0002604,2022,3,Summer (Jun-Aug),UAE,Indonesia,Business,Family,4,6
TRP0002605,2023,2,Winter (Dec-Feb),Canada,Malaysia,Religious/Pilgrimage,Family,6,10
TRP0002606,2023,9,Winter (Dec-Feb),Turkey,Egypt,Business,Solo,1,5
TRP0002607,2022,10,Spring (Mar-May),Saudi Arabia,UAE,Adventure/Sports,Group Tour,15,11
TRP0002608,2021,6,Spring (Mar-May),Netherlands,New Zealand,Adventure/Sports,Family,6,11
TRP0002609,2019,10,Spring (Mar-May),South Korea,Egypt,Leisure/Tourism,Couple,2,20
TRP0002610,2020,11,Winter (Dec-Feb),Pakistan,New Zealand,Education,Couple,2,51
TRP0002611,2023,3,Spring (Mar-May),Russia,Japan,Medical Tourism,Family,6,25
TRP0002612,2020,12,Summer (Jun-Aug),China,Australia,Medical Tourism,Group Tour,28,14
TRP0002613,2022,8,Spring (Mar-May),Germany,Italy,Leisure/Tourism,Couple,1,5
TRP0002614,2024,7,Winter (Dec-Feb),Germany,Spain,Business,Business Traveler,1,4
TRP0002615,2020,10,Autumn (Sep-Nov),Italy,Indonesia,Leisure/Tourism,Couple,2,15
TRP0002616,2023,4,Summer (Jun-Aug),Russia,Thailand,Business,Solo,1,6
TRP0002617,2022,10,Autumn (Sep-Nov),Saudi Arabia,Indonesia,Education,Business Traveler,1,144
TRP0002618,2023,11,Autumn (Sep-Nov),India,Egypt,Leisure/Tourism,Couple,2,18
TRP0002619,2022,2,Winter (Dec-Feb),Japan,Singapore,Leisure/Tourism,Backpacker,1,14
TRP0002620,2021,1,Spring (Mar-May),Pakistan,Thailand,Religious/Pilgrimage,Business Traveler,1,13
TRP0002621,2020,9,Spring (Mar-May),UK,Maldives,Religious/Pilgrimage,Solo,1,9
TRP0002622,2024,10,Spring (Mar-May),Australia,USA,Medical Tourism,Couple,1,14
TRP0002623,2022,1,Autumn (Sep-Nov),France,Canada,Business,Family,4,2
TRP0002624,2021,5,Summer (Jun-Aug),France,Italy,Medical Tourism,Business Traveler,1,27
TRP0002625,2019,9,Winter (Dec-Feb),Mexico,Canada,Leisure/Tourism,Group Tour,22,17
TRP0002626,2020,11,Winter (Dec-Feb),USA,Indonesia,Leisure/Tourism,Business Traveler,1,5
TRP0002627,2023,5,Spring (Mar-May),UAE,Greece,Leisure/Tourism,Couple,2,4
TRP0002628,2021,9,Autumn (Sep-Nov),Saudi Arabia,UK,Business,Family,6,6
TRP0002629,2023,7,Spring (Mar-May),Germany,Australia,Business,Backpacker,1,4
TRP0002630,2024,4,Winter (Dec-Feb),Russia,Egypt,Education,Couple,1,167
TRP0002631,2024,5,Spring (Mar-May),India,USA,Religious/Pilgrimage,Couple,2,19
TRP0002632,2019,3,Spring (Mar-May),Russia,Indonesia,Business,Group Tour,25,3
TRP0002633,2024,10,Autumn (Sep-Nov),Australia,France,Leisure/Tourism,Group Tour,17,14
TRP0002634,2023,1,Summer (Jun-Aug),Brazil,Singapore,Religious/Pilgrimage,Group Tour,21,10
TRP0002635,2022,10,Autumn (Sep-Nov),Mexico,UK,Religious/Pilgrimage,Backpacker,1,7
TRP0002636,2023,4,Winter (Dec-Feb),Turkey,Spain,Cultural Exchange,Business Traveler,1,4
TRP0002637,2023,8,Winter (Dec-Feb),Brazil,Morocco,Digital Nomad,Family,5,18
TRP0002638,2023,2,Autumn (Sep-Nov),South Korea,Italy,Business,Group Tour,15,4
TRP0002639,2022,2,Autumn (Sep-Nov),UK,Spain,Business,Family,5,6
TRP0002640,2020,7,Winter (Dec-Feb),Canada,Japan,Family Visit,Solo,1,14
TRP0002641,2022,1,Winter (Dec-Feb),Australia,Singapore,Leisure/Tourism,Family,4,4
TRP0002642,2023,6,Summer (Jun-Aug),Russia,New Zealand,Leisure/Tourism,Couple,1,19
TRP0002643,2023,8,Winter (Dec-Feb),Australia,Thailand,Business,Solo,1,6
TRP0002644,2021,1,Autumn (Sep-Nov),Russia,Malaysia,Education,Backpacker,2,176
TRP0002645,2019,9,Autumn (Sep-Nov),Italy,USA,Leisure/Tourism,Solo,1,3
TRP0002646,2023,6,Winter (Dec-Feb),Canada,Malaysia,Leisure/Tourism,Group Tour,16,9
TRP0002647,2023,2,Autumn (Sep-Nov),Saudi Arabia,Canada,Leisure/Tourism,Business Traveler,1,11
TRP0002648,2023,1,Spring (Mar-May),Saudi Arabia,UK,Family Visit,Solo,1,4
TRP0002649,2020,10,Spring (Mar-May),UAE,Egypt,Family Visit,Group Tour,22,19
TRP0002650,2019,7,Summer (Jun-Aug),Pakistan,France,Leisure/Tourism,Couple,1,18
TRP0002651,2019,12,Spring (Mar-May),Mexico,Maldives,Business,Family,4,4
TRP0002652,2022,9,Summer (Jun-Aug),Netherlands,Greece,Religious/Pilgrimage,Family,4,13
TRP0002653,2020,9,Spring (Mar-May),Turkey,Switzerland,Religious/Pilgrimage,Business Traveler,1,12
TRP0002654,2022,10,Autumn (Sep-Nov),Spain,Malaysia,Medical Tourism,Backpacker,2,27
TRP0002655,2020,10,Spring (Mar-May),Russia,New Zealand,Leisure/Tourism,Family,6,15
TRP0002656,2022,2,Summer (Jun-Aug),USA,Greece,Medical Tourism,Family,3,7
TRP0002657,2022,2,Summer (Jun-Aug),France,New Zealand,Leisure/Tourism,Solo,1,8
TRP0002658,2024,6,Winter (Dec-Feb),UK,France,Business,Business Traveler,1,5
TRP0002659,2020,12,Summer (Jun-Aug),Australia,USA,Cultural Exchange,Business Traveler,1,14
TRP0002660,2020,1,Winter (Dec-Feb),Saudi Arabia,UK,Religious/Pilgrimage,Family,4,16
TRP0002661,2023,10,Spring (Mar-May),Brazil,Singapore,Leisure/Tourism,Business Traveler,1,20
TRP0002662,2023,5,Autumn (Sep-Nov),Japan,Thailand,Leisure/Tourism,Couple,1,17
TRP0002663,2024,8,Autumn (Sep-Nov),Spain,Spain,Business,Solo,1,2
TRP0002664,2023,6,Summer (Jun-Aug),South Korea,UAE,Leisure/Tourism,Couple,1,20
TRP0002665,2021,10,Winter (Dec-Feb),USA,Indonesia,Adventure/Sports,Solo,1,11
TRP0002666,2023,5,Winter (Dec-Feb),Canada,Switzerland,Leisure/Tourism,Solo,1,13
TRP0002667,2019,12,Autumn (Sep-Nov),Brazil,Indonesia,Family Visit,Couple,1,8
TRP0002668,2021,8,Autumn (Sep-Nov),Turkey,Australia,Education,Couple,1,71
TRP0002669,2024,5,Spring (Mar-May),Saudi Arabia,Morocco,Digital Nomad,Couple,1,14
TRP0002670,2023,4,Autumn (Sep-Nov),Russia,Singapore,Leisure/Tourism,Solo,1,4
TRP0002671,2023,12,Autumn (Sep-Nov),Netherlands,Italy,Business,Backpacker,1,2
TRP0002672,2022,6,Spring (Mar-May),Brazil,Canada,Business,Family,3,3
TRP0002673,2024,12,Autumn (Sep-Nov),UAE,Maldives,Education,Couple,1,143
TRP0002674,2019,12,Summer (Jun-Aug),UAE,UK,Business,Solo,1,3
TRP0002675,2022,1,Winter (Dec-Feb),India,Greece,Digital Nomad,Couple,2,69
TRP0002676,2023,2,Autumn (Sep-Nov),Pakistan,Canada,Leisure/Tourism,Backpacker,1,19
TRP0002677,2019,2,Summer (Jun-Aug),Brazil,Australia,Digital Nomad,Couple,2,81
TRP0002678,2023,2,Autumn (Sep-Nov),Turkey,Turkey,Leisure/Tourism,Family,5,7
TRP0002679,2020,12,Spring (Mar-May),Saudi Arabia,Turkey,Adventure/Sports,Couple,2,14
TRP0002680,2023,3,Winter (Dec-Feb),Japan,Italy,Leisure/Tourism,Couple,2,7
TRP0002681,2024,7,Summer (Jun-Aug),Pakistan,UAE,Medical Tourism,Family,4,19
TRP0002682,2020,12,Winter (Dec-Feb),Spain,France,Medical Tourism,Group Tour,16,15
TRP0002683,2024,11,Winter (Dec-Feb),France,Greece,Adventure/Sports,Business Traveler,1,8
TRP0002684,2024,4,Winter (Dec-Feb),South Korea,France,Family Visit,Family,3,7
TRP0002685,2023,4,Summer (Jun-Aug),France,Turkey,Leisure/Tourism,Solo,1,15
TRP0002686,2022,2,Winter (Dec-Feb),Australia,UAE,Family Visit,Couple,2,4
TRP0002687,2024,3,Autumn (Sep-Nov),UK,Thailand,Business,Couple,1,2
TRP0002688,2022,11,Spring (Mar-May),Saudi Arabia,Japan,Leisure/Tourism,Group Tour,27,8
TRP0002689,2024,8,Autumn (Sep-Nov),South Korea,Thailand,Adventure/Sports,Solo,1,7
TRP0002690,2022,1,Summer (Jun-Aug),China,UAE,Leisure/Tourism,Family,5,18
TRP0002691,2023,2,Spring (Mar-May),Saudi Arabia,Singapore,Education,Couple,2,108
TRP0002692,2024,10,Spring (Mar-May),UAE,USA,Business,Backpacker,2,5
TRP0002693,2022,11,Spring (Mar-May),UAE,Morocco,Medical Tourism,Family,5,14
TRP0002694,2023,5,Spring (Mar-May),Turkey,Egypt,Leisure/Tourism,Family,6,18
TRP0002695,2024,1,Summer (Jun-Aug),Mexico,Morocco,Leisure/Tourism,Couple,2,19
TRP0002696,2022,4,Winter (Dec-Feb),Saudi Arabia,Singapore,Leisure/Tourism,Couple,1,11
TRP0002697,2022,7,Autumn (Sep-Nov),Australia,Indonesia,Family Visit,Couple,2,8
TRP0002698,2024,12,Winter (Dec-Feb),Germany,Thailand,Family Visit,Backpacker,2,4
TRP0002699,2019,12,Autumn (Sep-Nov),UK,Indonesia,Business,Family,5,4
TRP0002700,2019,3,Autumn (Sep-Nov),Australia,New Zealand,Family Visit,Family,3,4
TRP0002701,2019,6,Autumn (Sep-Nov),Turkey,New Zealand,Business,Business Traveler,1,6
TRP0002702,2019,10,Summer (Jun-Aug),Canada,Egypt,Leisure/Tourism,Family,3,13
TRP0002703,2020,7,Winter (Dec-Feb),Australia,Egypt,Leisure/Tourism,Couple,1,9
TRP0002704,2023,6,Summer (Jun-Aug),UAE,New Zealand,Business,Couple,1,6
TRP0002705,2024,8,Winter (Dec-Feb),Canada,USA,Religious/Pilgrimage,Family,6,20
TRP0002706,2023,12,Autumn (Sep-Nov),Spain,Greece,Leisure/Tourism,Family,4,4
TRP0002707,2024,1,Autumn (Sep-Nov),Pakistan,Spain,Leisure/Tourism,Family,6,6
TRP0002708,2024,4,Summer (Jun-Aug),Italy,Maldives,Business,Business Traveler,1,3
TRP0002709,2023,5,Summer (Jun-Aug),India,Australia,Business,Family,6,6
TRP0002710,2021,10,Spring (Mar-May),Turkey,Spain,Business,Couple,2,5
TRP0002711,2022,3,Spring (Mar-May),China,Japan,Business,Family,6,6
TRP0002712,2021,2,Winter (Dec-Feb),Russia,Malaysia,Business,Couple,1,2
TRP0002713,2020,6,Autumn (Sep-Nov),India,UAE,Business,Family,4,6
TRP0002714,2019,10,Spring (Mar-May),Mexico,Turkey,Leisure/Tourism,Backpacker,2,11
TRP0002715,2020,8,Summer (Jun-Aug),France,UAE,Business,Family,4,2
TRP0002716,2023,10,Autumn (Sep-Nov),UAE,Thailand,Education,Couple,1,67
TRP0002717,2022,3,Winter (Dec-Feb),Canada,Malaysia,Leisure/Tourism,Solo,1,10
TRP0002718,2024,9,Winter (Dec-Feb),South Korea,Malaysia,Business,Couple,1,4
TRP0002719,2024,12,Winter (Dec-Feb),Canada,Turkey,Honeymoon,Solo,1,16
TRP0002720,2021,10,Summer (Jun-Aug),Canada,USA,Medical Tourism,Business Traveler,1,15
TRP0002721,2024,11,Spring (Mar-May),Mexico,Italy,Business,Solo,1,3
TRP0002722,2024,4,Summer (Jun-Aug),Mexico,Morocco,Leisure/Tourism,Group Tour,11,16
TRP0002723,2023,8,Winter (Dec-Feb),Saudi Arabia,Switzerland,Business,Business Traveler,1,4
TRP0002724,2023,6,Winter (Dec-Feb),Spain,Australia,Education,Couple,1,130
TRP0002725,2023,10,Summer (Jun-Aug),Canada,UK,Business,Group Tour,24,3
TRP0002726,2023,7,Autumn (Sep-Nov),Russia,Morocco,Digital Nomad,Business Traveler,1,58
TRP0002727,2024,2,Summer (Jun-Aug),Spain,Thailand,Family Visit,Solo,1,19
TRP0002728,2021,11,Autumn (Sep-Nov),Australia,Turkey,Leisure/Tourism,Family,6,4
TRP0002729,2024,5,Winter (Dec-Feb),Brazil,Morocco,Religious/Pilgrimage,Solo,1,18
TRP0002730,2022,6,Winter (Dec-Feb),UAE,Singapore,Leisure/Tourism,Couple,1,3
TRP0002731,2023,6,Autumn (Sep-Nov),Turkey,Turkey,Leisure/Tourism,Solo,1,11
TRP0002732,2024,6,Spring (Mar-May),Turkey,Indonesia,Cultural Exchange,Group Tour,19,13
TRP0002733,2023,11,Summer (Jun-Aug),Netherlands,USA,Business,Couple,1,6
TRP0002734,2022,6,Winter (Dec-Feb),Pakistan,Morocco,Religious/Pilgrimage,Couple,1,14
TRP0002735,2022,6,Spring (Mar-May),Spain,Turkey,Leisure/Tourism,Couple,2,18
TRP0002736,2022,2,Autumn (Sep-Nov),UK,Greece,Honeymoon,Couple,2,7
TRP0002737,2020,11,Spring (Mar-May),Saudi Arabia,Spain,Business,Backpacker,1,2
TRP0002738,2022,1,Autumn (Sep-Nov),Spain,Spain,Religious/Pilgrimage,Couple,2,8
TRP0002739,2023,9,Spring (Mar-May),USA,New Zealand,Medical Tourism,Group Tour,22,8
TRP0002740,2019,5,Autumn (Sep-Nov),Japan,Italy,Business,Business Traveler,1,6
TRP0002741,2019,10,Summer (Jun-Aug),Turkey,USA,Leisure/Tourism,Group Tour,12,16
TRP0002742,2024,4,Spring (Mar-May),Japan,Spain,Family Visit,Business Traveler,1,7
TRP0002743,2022,2,Summer (Jun-Aug),Germany,Thailand,Cultural Exchange,Backpacker,1,18
TRP0002744,2024,6,Autumn (Sep-Nov),Canada,Australia,Religious/Pilgrimage,Couple,2,16
TRP0002745,2024,10,Winter (Dec-Feb),UAE,UK,Family Visit,Family,3,8
TRP0002746,2022,4,Winter (Dec-Feb),Russia,Egypt,Education,Couple,2,141
TRP0002747,2024,1,Spring (Mar-May),Japan,Indonesia,Leisure/Tourism,Solo,1,3
TRP0002748,2023,10,Winter (Dec-Feb),USA,Singapore,Religious/Pilgrimage,Couple,2,18
TRP0002749,2021,11,Summer (Jun-Aug),Japan,UAE,Religious/Pilgrimage,Couple,1,10
TRP0002750,2022,5,Autumn (Sep-Nov),Brazil,UK,Business,Solo,1,3
TRP0002751,2022,12,Autumn (Sep-Nov),UAE,USA,Leisure/Tourism,Group Tour,27,7
TRP0002752,2021,10,Autumn (Sep-Nov),USA,Switzerland,Medical Tourism,Group Tour,9,12
TRP0002753,2022,10,Summer (Jun-Aug),UAE,Italy,Business,Family,4,6
TRP0002754,2020,4,Autumn (Sep-Nov),Turkey,Malaysia,Business,Family,6,6
TRP0002755,2023,7,Spring (Mar-May),USA,Turkey,Business,Solo,1,2
TRP0002756,2024,10,Spring (Mar-May),UAE,Malaysia,Family Visit,Family,3,15
TRP0002757,2022,12,Autumn (Sep-Nov),France,Japan,Business,Family,3,3
TRP0002758,2023,1,Summer (Jun-Aug),Pakistan,Greece,Leisure/Tourism,Group Tour,29,3
TRP0002759,2023,3,Autumn (Sep-Nov),USA,UAE,Leisure/Tourism,Backpacker,2,8
TRP0002760,2021,4,Autumn (Sep-Nov),Netherlands,UK,Business,Business Traveler,1,4
TRP0002761,2021,2,Autumn (Sep-Nov),China,UK,Leisure/Tourism,Couple,1,11
TRP0002762,2023,9,Winter (Dec-Feb),Saudi Arabia,UK,Honeymoon,Family,5,17
TRP0002763,2022,2,Spring (Mar-May),UK,Malaysia,Family Visit,Couple,2,10
TRP0002764,2019,2,Spring (Mar-May),South Korea,UK,Business,Backpacker,2,2
TRP0002765,2024,12,Winter (Dec-Feb),Canada,Singapore,Family Visit,Family,5,13
TRP0002766,2022,5,Summer (Jun-Aug),Canada,UK,Medical Tourism,Couple,2,19
TRP0002767,2024,8,Winter (Dec-Feb),USA,Japan,Cultural Exchange,Group Tour,19,7
TRP0002768,2022,9,Spring (Mar-May),Pakistan,Canada,Business,Family,4,5
TRP0002769,2024,9,Winter (Dec-Feb),Mexico,Greece,Family Visit,Family,6,13
TRP0002770,2024,3,Winter (Dec-Feb),Brazil,Morocco,Family Visit,Family,6,20
TRP0002771,2023,10,Spring (Mar-May),UAE,UK,Leisure/Tourism,Group Tour,27,6
TRP0002772,2020,12,Spring (Mar-May),Russia,Malaysia,Medical Tourism,Solo,1,20
TRP0002773,2023,10,Autumn (Sep-Nov),Saudi Arabia,USA,Leisure/Tourism,Family,6,14
TRP0002774,2023,4,Summer (Jun-Aug),Japan,Indonesia,Honeymoon,Backpacker,2,16
TRP0002775,2023,5,Spring (Mar-May),Japan,Greece,Religious/Pilgrimage,Couple,2,16
TRP0002776,2022,6,Autumn (Sep-Nov),France,Australia,Leisure/Tourism,Family,4,18
TRP0002777,2024,12,Autumn (Sep-Nov),Italy,UK,Religious/Pilgrimage,Couple,2,10
TRP0002778,2024,9,Winter (Dec-Feb),Canada,Japan,Digital Nomad,Family,5,89
TRP0002779,2020,7,Autumn (Sep-Nov),UAE,Malaysia,Leisure/Tourism,Family,3,18
TRP0002780,2023,9,Autumn (Sep-Nov),Mexico,New Zealand,Family Visit,Family,6,15
TRP0002781,2024,7,Summer (Jun-Aug),Australia,Singapore,Honeymoon,Group Tour,9,8
TRP0002782,2023,1,Winter (Dec-Feb),France,Indonesia,Leisure/Tourism,Solo,1,17
TRP0002783,2022,4,Spring (Mar-May),USA,New Zealand,Honeymoon,Solo,1,11
TRP0002784,2024,3,Summer (Jun-Aug),USA,Australia,Leisure/Tourism,Solo,1,20
TRP0002785,2024,9,Summer (Jun-Aug),Japan,UK,Religious/Pilgrimage,Solo,1,8
TRP0002786,2023,5,Autumn (Sep-Nov),Australia,Greece,Leisure/Tourism,Solo,1,18
TRP0002787,2023,7,Summer (Jun-Aug),India,Canada,Education,Couple,2,105
TRP0002788,2022,2,Spring (Mar-May),France,Indonesia,Medical Tourism,Backpacker,2,10
TRP0002789,2019,7,Autumn (Sep-Nov),UK,Australia,Business,Couple,2,3
TRP0002790,2023,4,Winter (Dec-Feb),Spain,Italy,Honeymoon,Solo,1,18
TRP0002791,2024,10,Spring (Mar-May),Italy,Maldives,Adventure/Sports,Backpacker,1,11
TRP0002792,2019,1,Spring (Mar-May),China,Morocco,Leisure/Tourism,Couple,1,16
TRP0002793,2023,2,Winter (Dec-Feb),Turkey,Switzerland,Leisure/Tourism,Group Tour,9,6
TRP0002794,2021,1,Winter (Dec-Feb),UK,Japan,Medical Tourism,Family,4,25
TRP0002795,2019,4,Summer (Jun-Aug),USA,Switzerland,Leisure/Tourism,Business Traveler,1,11
TRP0002796,2022,7,Summer (Jun-Aug),China,Canada,Leisure/Tourism,Family,3,20
TRP0002797,2023,8,Summer (Jun-Aug),Italy,New Zealand,Business,Family,4,4
TRP0002798,2022,5,Spring (Mar-May),South Korea,Spain,Digital Nomad,Business Traveler,1,31
TRP0002799,2023,2,Autumn (Sep-Nov),Pakistan,Turkey,Cultural Exchange,Family,3,16
TRP0002800,2019,8,Autumn (Sep-Nov),China,Malaysia,Leisure/Tourism,Business Traveler,1,20
TRP0002801,2021,12,Spring (Mar-May),China,France,Adventure/Sports,Business Traveler,1,12
TRP0002802,2023,6,Summer (Jun-Aug),India,Malaysia,Religious/Pilgrimage,Solo,1,14
TRP0002803,2023,2,Summer (Jun-Aug),Canada,Singapore,Education,Group Tour,8,126
TRP0002804,2024,4,Summer (Jun-Aug),Brazil,UK,Cultural Exchange,Solo,1,10
TRP0002805,2023,1,Winter (Dec-Feb),Russia,Canada,Digital Nomad,Solo,1,54
TRP0002806,2019,6,Autumn (Sep-Nov),UK,Thailand,Medical Tourism,Family,5,15
TRP0002807,2024,9,Spring (Mar-May),Netherlands,Greece,Religious/Pilgrimage,Couple,1,16
TRP0002808,2019,7,Winter (Dec-Feb),France,Thailand,Honeymoon,Solo,1,13
TRP0002809,2022,7,Winter (Dec-Feb),Japan,Morocco,Leisure/Tourism,Business Traveler,1,14
TRP0002810,2024,12,Spring (Mar-May),China,New Zealand,Business,Solo,1,3
TRP0002811,2024,7,Winter (Dec-Feb),France,Maldives,Family Visit,Family,6,13
TRP0002812,2024,6,Autumn (Sep-Nov),Pakistan,France,Leisure/Tourism,Couple,2,4
TRP0002813,2023,4,Spring (Mar-May),France,UK,Business,Family,3,4
TRP0002814,2024,10,Autumn (Sep-Nov),Russia,UK,Business,Couple,2,5
TRP0002815,2021,4,Spring (Mar-May),UK,UAE,Leisure/Tourism,Couple,2,15
TRP0002816,2022,11,Winter (Dec-Feb),South Korea,Greece,Business,Couple,2,6
TRP0002817,2023,4,Summer (Jun-Aug),Mexico,UK,Business,Family,4,6
TRP0002818,2019,5,Summer (Jun-Aug),Germany,Maldives,Leisure/Tourism,Solo,1,19
TRP0002819,2024,9,Winter (Dec-Feb),China,Thailand,Cultural Exchange,Backpacker,1,16
TRP0002820,2020,2,Autumn (Sep-Nov),South Korea,Thailand,Family Visit,Group Tour,18,6
TRP0002821,2019,1,Winter (Dec-Feb),Brazil,Turkey,Leisure/Tourism,Backpacker,1,14
TRP0002822,2024,8,Spring (Mar-May),Mexico,Indonesia,Religious/Pilgrimage,Solo,1,17
TRP0002823,2024,7,Summer (Jun-Aug),Australia,Turkey,Adventure/Sports,Backpacker,2,15
TRP0002824,2020,5,Winter (Dec-Feb),China,USA,Business,Group Tour,19,2
TRP0002825,2024,12,Winter (Dec-Feb),UAE,Japan,Medical Tourism,Family,5,28
TRP0002826,2023,8,Spring (Mar-May),Germany,Singapore,Business,Family,4,6
TRP0002827,2024,2,Winter (Dec-Feb),Japan,UK,Honeymoon,Family,6,20
TRP0002828,2023,3,Summer (Jun-Aug),Germany,Morocco,Religious/Pilgrimage,Couple,2,18
TRP0002829,2023,6,Spring (Mar-May),Australia,Egypt,Family Visit,Couple,1,19
TRP0002830,2024,1,Winter (Dec-Feb),Italy,New Zealand,Business,Family,5,6
TRP0002831,2021,5,Autumn (Sep-Nov),Pakistan,UK,Business,Couple,1,2
TRP0002832,2022,2,Spring (Mar-May),Pakistan,France,Leisure/Tourism,Family,4,4
TRP0002833,2024,8,Spring (Mar-May),Saudi Arabia,Italy,Leisure/Tourism,Business Traveler,1,15
TRP0002834,2019,5,Summer (Jun-Aug),India,Canada,Family Visit,Solo,1,15
TRP0002835,2024,6,Winter (Dec-Feb),USA,USA,Business,Group Tour,17,4
TRP0002836,2022,6,Winter (Dec-Feb),France,Morocco,Family Visit,Group Tour,21,18
TRP0002837,2024,8,Summer (Jun-Aug),UK,Italy,Honeymoon,Backpacker,2,17
TRP0002838,2019,7,Spring (Mar-May),Netherlands,Egypt,Family Visit,Solo,1,18
TRP0002839,2024,12,Autumn (Sep-Nov),Spain,Spain,Medical Tourism,Solo,1,19
TRP0002840,2021,11,Spring (Mar-May),UK,Greece,Adventure/Sports,Group Tour,15,16
TRP0002841,2024,11,Spring (Mar-May),Japan,Turkey,Digital Nomad,Family,6,18
TRP0002842,2024,3,Autumn (Sep-Nov),Canada,Indonesia,Business,Family,5,5
TRP0002843,2024,2,Winter (Dec-Feb),Russia,Italy,Business,Solo,1,3
TRP0002844,2024,8,Autumn (Sep-Nov),Canada,Thailand,Digital Nomad,Family,4,47
TRP0002845,2020,2,Spring (Mar-May),Italy,UK,Leisure/Tourism,Couple,2,20
TRP0002846,2024,6,Autumn (Sep-Nov),Spain,Italy,Business,Couple,2,5
TRP0002847,2024,4,Spring (Mar-May),Italy,Greece,Adventure/Sports,Couple,1,5
TRP0002848,2019,11,Spring (Mar-May),Saudi Arabia,Turkey,Cultural Exchange,Family,5,15
TRP0002849,2019,1,Summer (Jun-Aug),Turkey,UAE,Leisure/Tourism,Backpacker,2,19
TRP0002850,2022,9,Summer (Jun-Aug),China,France,Business,Group Tour,16,5
TRP0002851,2022,7,Autumn (Sep-Nov),Canada,USA,Business,Family,6,2
TRP0002852,2020,12,Summer (Jun-Aug),Russia,France,Leisure/Tourism,Family,3,15
TRP0002853,2024,5,Spring (Mar-May),UK,Singapore,Leisure/Tourism,Group Tour,19,12
TRP0002854,2021,12,Winter (Dec-Feb),UAE,Australia,Leisure/Tourism,Solo,1,8
TRP0002855,2024,4,Autumn (Sep-Nov),Germany,Indonesia,Education,Couple,2,108
TRP0002856,2022,7,Winter (Dec-Feb),Australia,Egypt,Business,Family,4,3
TRP0002857,2021,2,Autumn (Sep-Nov),UAE,Canada,Leisure/Tourism,Couple,2,19
TRP0002858,2021,2,Autumn (Sep-Nov),Pakistan,New Zealand,Education,Couple,1,125
TRP0002859,2022,6,Summer (Jun-Aug),Japan,Turkey,Business,Couple,2,5
TRP0002860,2023,2,Winter (Dec-Feb),Italy,Maldives,Business,Solo,1,6
TRP0002861,2023,8,Spring (Mar-May),UK,New Zealand,Honeymoon,Group Tour,17,18
TRP0002862,2019,4,Winter (Dec-Feb),Brazil,USA,Religious/Pilgrimage,Group Tour,20,14
TRP0002863,2023,3,Winter (Dec-Feb),South Korea,New Zealand,Religious/Pilgrimage,Family,3,8
TRP0002864,2023,3,Summer (Jun-Aug),Italy,Thailand,Cultural Exchange,Couple,2,16
TRP0002865,2022,11,Winter (Dec-Feb),Germany,Malaysia,Leisure/Tourism,Group Tour,13,18
TRP0002866,2024,7,Spring (Mar-May),France,Indonesia,Medical Tourism,Business Traveler,1,8
TRP0002867,2021,6,Winter (Dec-Feb),India,Spain,Business,Family,3,6
TRP0002868,2021,8,Summer (Jun-Aug),UAE,UAE,Adventure/Sports,Solo,1,20
TRP0002869,2021,6,Spring (Mar-May),Brazil,Morocco,Leisure/Tourism,Backpacker,1,8
TRP0002870,2023,4,Autumn (Sep-Nov),UAE,USA,Religious/Pilgrimage,Solo,1,7
TRP0002871,2022,8,Summer (Jun-Aug),Canada,USA,Education,Business Traveler,1,122
TRP0002872,2022,11,Autumn (Sep-Nov),USA,Japan,Business,Backpacker,1,5
TRP0002873,2019,11,Spring (Mar-May),Canada,Egypt,Family Visit,Family,6,12
TRP0002874,2024,5,Spring (Mar-May),UK,Indonesia,Religious/Pilgrimage,Solo,1,19
TRP0002875,2023,7,Autumn (Sep-Nov),Russia,Australia,Family Visit,Business Traveler,1,3
TRP0002876,2019,4,Winter (Dec-Feb),Mexico,Canada,Education,Group Tour,18,165
TRP0002877,2023,6,Summer (Jun-Aug),Australia,Canada,Leisure/Tourism,Family,6,12
TRP0002878,2020,10,Spring (Mar-May),Japan,Egypt,Medical Tourism,Solo,1,10
TRP0002879,2019,3,Autumn (Sep-Nov),Mexico,Egypt,Leisure/Tourism,Solo,1,16
TRP0002880,2023,5,Winter (Dec-Feb),Spain,Canada,Honeymoon,Family,4,19
TRP0002881,2022,10,Spring (Mar-May),Brazil,UK,Honeymoon,Backpacker,1,15
